Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Slovak Republic,38.865866,39.294047,40.97194,41.84146,43.153698,43.689704,45.418861,50.650183,51.543248,55.776811,54.433044,52.820224,52.701845,54.56674,54.413316,51.687061,53.500048,54.299713,53.652462,54.811836,47.93813,44.789174,43.290923,40.586971,41.215622,41.074119,41.058446,39.581503,38.833148,36.882216,37.367992,36.900359,37.409628,36.21345,37.26225,36.484267,35.705258,35.423771,32.608976,34.572254,32.854933,31.25107,31.78539,29.17109,29.444724,30.213017
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.666342,14.104534,13.91216,13.886752,13.528748,12.737371,12.440549,13.267519,13.223293,14.063924,14.853931,15.284084,15.042971,14.445526,14.050948,14.875046,15.08115,14.966139,15.234876,15.443033,15.799291,15.752667,16.798294,15.109487,15.447067,15.426152,14.859063,14.211991,12.755724,12.804932,13.58587
Spain,119.087482,125.00522,139.380672,150.904318,155.843047,172.513817,165.222209,164.244717,174.772951,186.254116,190.241661,184.473412,187.942244,178.73519,173.02401,177.339517,178.122649,181.317425,198.712392,202.627272,210.399762,221.929575,208.165778,216.952711,228.207273,217.984601,235.853121,242.405526,263.870506,278.584641,279.777085,297.223652,302.617988,319.270642,333.710087,325.036575,337.863432,309.774429,276.08605,262.054508,264.87411,260.511877,235.161625,232.063961,247.067141,238.636038
Sweden,82.047454,82.173711,83.562245,76.514411,79.041442,85.8604,82.904322,77.583901,80.106153,73.120126,66.199133,60.477761,54.96474,54.040194,58.385787,59.862518,58.027614,55.592381,52.787517,52.077313,53.099272,55.656918,55.412876,57.379792,56.934848,62.422403,56.276557,57.230385,56.125849,51.989459,51.165356,52.743717,53.996707,52.309332,49.105657,46.627651,44.987536,42.956366,40.725652,46.062655,42.353647,39.246242,37.567141,37.295108,37.112387,37.997784
Switzerland,38.91881,39.387893,42.98584,38.506835,36.753433,38.581544,38.995923,40.108759,38.652882,39.262132,36.92968,34.941991,39.073141,38.547581,41.772716,41.673936,40.019372,39.873291,39.475005,40.747448,43.420348,43.595925,41.540098,40.483928,41.451239,42.215177,41.142271,42.641295,42.923075,41.984677,43.397509,41.883051,43.188027,43.534175,44.006736,43.629116,41.660487,43.113014,41.825782,43.257955,39.234014,40.665941,41.665705,37.868637,37.323102,37.939175
Turkey,41.736696,49.05564,52.754944,55.306306,59.631215,66.674607,72.221063,73.033456,67.555827,71.522552,71.126812,77.569171,83.28154,87.715162,95.358487,103.308121,113.729949,108.735235,120.704122,128.767192,131.786338,136.5371,142.539308,140.343027,154.030151,170.68756,178.338803,178.407384,178.068898,201.222498,182.686153,192.604713,203.14714,207.401419,215.893009,240.254854,266.198355,262.367024,261.2786,267.84626,287.198873,298.432766,285.183447,307.171527,318.97376,338.763135
United Kingdom,621.136916,602.249054,634.238973,595.189734,576.041675,582.095191,592.909731,591.088384,623.134983,570.574019,554.444856,541.404183,533.135432,516.151533,543.545265,558.0747,562.61906,561.127245,547.411873,549.39,560.129204,547.520728,530.61788,523.225765,513.796406,533.808845,511.895631,514.529285,511.94887,520.562579,535.303234,521.177336,533.471641,533.390972,531.648685,532.899868,521.732998,507.897112,460.083893,476.626027,439.178852,461.442486,447.002731,408.662689,393.461686,371.138521
OECD Europe,3625.318476,3726.096907,3929.833246,3842.776536,3733.132231,3968.044546,3960.740294,4073.116236,4223.991242,4101.319414,3919.739417,3826.988439,3792.19301,3817.281145,3886.593731,3920.418672,3966.578348,3935.398413,3941.949069,3924.484263,3951.316154,3862.100523,3806.07257,3785.822601,3835.226131,3970.276367,3896.067125,3905.774642,3868.006277,3899.479235,3946.614132,3936.283684,4041.971057,4052.743191,4037.180393,4064.310392,4031.604122,3949.284119,3688.991387,3804.309909,3662.558546,3649.047629,3568.738261,3401.765297,3454.226264,3463.978744
Albania,3.862769,4.446406,3.923769,4.111338,4.338335,4.677361,4.958554,5.619528,6.694879,6.811551,5.843745,6.104033,6.659452,7.213167,6.929922,6.951614,7.232072,7.160661,6.839338,5.67294,3.811216,2.137383,1.97626,2.033469,1.848549,1.863265,1.427659,1.75972,2.921638,3.083429,3.224171,3.750319,3.822387,4.007115,3.82518,3.792387,3.775918,3.708691,3.766209,3.93028,4.141865,3.484825,3.646187,4.123,3.82479,3.674253
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.84522,20.689563,10.656528,4.918989,2.675927,3.368024,2.403509,3.156618,3.283226,2.931683,3.422249,3.458502,2.907289,3.275247,3.465509,4.129845,4.151024,4.797638,5.273319,4.269473,4.048252,4.672813,5.438571,5.243729,5.220168,4.698572,4.871083
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.483696,52.059425,42.438862,37.359602,33.277749,32.372428,27.072988,26.273673,26.255559,25.764912,27.305752,25.834093,25.514807,27.832385,27.404578,29.018487,29.39629,26.695626,28.81144,24.521668,23.532474,26.449905,28.894745,29.462072,30.793651,30.806151,31.409355
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.853962,96.241962,86.861439,75.376769,64.029692,56.957855,57.830363,58.209174,56.311903,54.095856,52.128012,50.919604,50.793048,51.384031,54.47506,55.023472,57.248639,55.736659,58.453498,55.324565,59.535489,56.422735,57.632921,57.598839,56.835963,52.658631,53.096958
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.965572,21.44097,15.905386,13.343323,3.06487,3.279822,4.129147,8.415165,10.645188,10.401704,13.718186,13.500827,14.218708,14.546431,15.186631,15.857732,17.462218,18.415086,20.240004,20.204484,20.482692,23.400891,21.645015,21.510393,19.113315,19.241477,21.959057
Bulgaria,63.830961,65.873211,67.731116,68.778889,73.315178,73.199135,75.957988,79.01972,82.248606,85.03243,81.057134,82.702953,81.28068,79.378321,82.206427,83.164019,84.220594,83.155812,82.559508,74.547249,56.599359,54.093955,54.496192,52.075141,52.717202,53.156694,51.271288,48.995725,43.022195,42.166853,45.002059,42.461294,46.705839,45.773625,46.473481,47.622557,50.958555,48.500337,42.373424,44.362484,49.165647,44.415407,39.296275,41.576359,43.748262,40.513295
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.321797,14.628006,14.145963,14.820651,13.991805,14.783307,14.657169,16.262997,17.622285,17.38782,16.782598,17.753675,18.855022,20.181272,19.604563,19.916015,19.976308,21.221588,20.165571,19.065211,18.247801,17.950695,16.418784,15.901666,15.11658,15.512625,15.85768
Cyprus,1.74446,2.170393,2.275464,1.735444,1.658257,1.939371,2.115331,2.233686,2.428704,2.574553,2.52805,2.57167,2.621283,2.739297,2.765075,3.033898,3.595128,3.650014,3.81441,3.891367,4.444345,4.748781,4.941285,5.145023,5.048343,5.348297,5.471658,5.814508,6.072794,6.30501,6.188864,6.343099,7.01764,6.907327,7.047938,7.113816,7.425311,7.579392,7.502394,7.260558,7.000748,6.515876,5.630059,5.7769,5.900856,6.269195
FYR of Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.59127,8.383727,8.332379,8.639654,8.350838,8.305698,9.8625,8.78611,9.651401,8.87954,8.522101,8.670599,8.128866,8.829055,8.542582,8.917282,8.912959,9.339659,9.125252,8.502025,8.31969,9.148739,8.792808,7.853686,7.436946,7.133649,6.909364
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.488252,25.505911,19.869605,15.971918,10.403341,8.136841,6.32886,5.482128,4.909635,4.384621,4.632653,3.381843,2.819754,3.019983,3.204911,4.065651,4.525628,5.453389,4.666909,5.292217,4.995033,5.953737,6.609904,6.685286,7.719782,8.383105,8.809865
Gibraltar,0.068529,0.05923,0.059001,0.059046,0.062035,0.062084,0.058986,0.055827,0.07776,0.093542,0.087168,0.096576,0.087105,0.083892,0.090097,0.115459,0.127533,0.142826,0.136392,0.142762,0.202557,0.239888,0.242986,0.287116,0.280803,0.287056,0.296419,0.312035,0.324493,0.340045,0.349408,0.355658,0.361914,0.393158,0.405661,0.424375,0.421159,0.430447,0.471038,0.474193,0.458581,0.467989,0.499161,0.536594,0.589616,0.645691
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,237.250888,246.365963,252.398431,216.238019,194.435993,170.519465,148.261295,125.620086,128.265937,115.894302,112.014088,109.245488,119.577273,134.803143,146.417347,156.90242,172.93738,187.204818,230.259084,202.71616,221.101397,234.817214,233.846134,249.159727,229.816379,225.056968,229.954069
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.104595,6.473812,6.435986,6.773631,6.842713,6.639143,6.701341,7.030447,7.570399,8.397252,8.695931,8.60546,8.117438,8.296493,7.392378,8.605682,9.081162
